run,model,sb,day,period,threshold,score,TAR,TRR,RR
1,ecnn0,1,3,AM,0.267333984375,un_nentropy,0.90625,0.44140625,0.591796875
1,ecnn0,1,3,PM,0.267333984375,un_nentropy,0.84033203125,0.58740234375,0.67529296875
1,ecnn0,1,4,AM,0.267333984375,un_nentropy,0.93310546875,0.440185546875,0.505859375
1,ecnn0,1,4,PM,0.267333984375,un_nentropy,0.9033203125,0.461669921875,0.49365234375
1,ecnn0,1,5,AM,0.267333984375,un_nentropy,0.9228515625,0.4921875,0.60693359375
1,ecnn0,1,5,PM,0.267333984375,un_nentropy,0.916015625,0.55908203125,0.56103515625
1,ecnn0,1,3,AM,0.2125244140625,un_nnmp,0.89599609375,0.464599609375,0.54150390625
1,ecnn0,1,3,PM,0.2125244140625,un_nnmp,0.806640625,0.607421875,0.61669921875
1,ecnn0,1,4,AM,0.2125244140625,un_nnmp,0.923828125,0.455810546875,0.472900390625
1,ecnn0,1,4,PM,0.2125244140625,un_nnmp,0.900390625,0.489501953125,0.455322265625
1,ecnn0,1,5,AM,0.2125244140625,un_nnmp,0.90234375,0.509765625,0.5615234375
1,ecnn0,1,5,PM,0.2125244140625,un_nnmp,0.8955078125,0.5703125,0.5283203125
1,ecnn0,3,3,AM,0.26318359375,un_nentropy,0.892578125,0.5517578125,0.435546875
1,ecnn0,3,3,PM,0.26318359375,un_nentropy,0.8212890625,0.6611328125,0.70361328125
1,ecnn0,3,4,AM,0.26318359375,un_nentropy,0.479248046875,0.7607421875,0.513671875
1,ecnn0,3,4,PM,0.26318359375,un_nentropy,0.59619140625,0.6552734375,0.677734375
1,ecnn0,3,5,AM,0.26318359375,un_nentropy,0.6796875,0.51123046875,0.61376953125
1,ecnn0,3,5,PM,0.26318359375,un_nentropy,0.440185546875,0.564453125,0.6748046875
1,ecnn0,3,3,AM,0.145263671875,un_nnmp,0.89697265625,0.53076171875,0.462890625
1,ecnn0,3,3,PM,0.145263671875,un_nnmp,0.83447265625,0.65087890625,0.7265625
1,ecnn0,3,4,AM,0.145263671875,un_nnmp,0.470703125,0.74462890625,0.533203125
1,ecnn0,3,4,PM,0.145263671875,un_nnmp,0.58984375,0.6416015625,0.70947265625
1,ecnn0,3,5,AM,0.145263671875,un_nnmp,0.67431640625,0.5078125,0.61474609375
1,ecnn0,3,5,PM,0.145263671875,un_nnmp,0.439697265625,0.56396484375,0.6845703125
1,ecnn0,4,3,AM,0.160888671875,un_nentropy,0.58251953125,0.6484375,0.6650390625
1,ecnn0,4,3,PM,0.160888671875,un_nentropy,0.57568359375,0.736328125,0.591796875
1,ecnn0,4,4,AM,0.160888671875,un_nentropy,0.5908203125,0.74169921875,0.60546875
1,ecnn0,4,4,PM,0.160888671875,un_nentropy,0.63916015625,0.75146484375,0.6005859375
1,ecnn0,4,5,AM,0.160888671875,un_nentropy,0.6416015625,0.77734375,0.599609375
1,ecnn0,4,5,PM,0.160888671875,un_nentropy,0.65478515625,0.78466796875,0.576171875
1,ecnn0,4,3,AM,0.07183837890625,un_nnmp,0.58349609375,0.6455078125,0.67529296875
1,ecnn0,4,3,PM,0.07183837890625,un_nnmp,0.578125,0.7333984375,0.60107421875
1,ecnn0,4,4,AM,0.07183837890625,un_nnmp,0.59423828125,0.736328125,0.61962890625
1,ecnn0,4,4,PM,0.07183837890625,un_nnmp,0.64892578125,0.74755859375,0.6162109375
1,ecnn0,4,5,AM,0.07183837890625,un_nnmp,0.6455078125,0.771484375,0.61181640625
1,ecnn0,4,5,PM,0.07183837890625,un_nnmp,0.66015625,0.77880859375,0.58935546875
1,ecnn0,5,3,AM,0.215087890625,un_nentropy,0.83642578125,0.55908203125,0.5546875
1,ecnn0,5,3,PM,0.215087890625,un_nentropy,0.873046875,0.517578125,0.40234375
1,ecnn0,5,4,AM,0.215087890625,un_nentropy,0.6328125,0.650390625,0.458740234375
1,ecnn0,5,4,PM,0.215087890625,un_nentropy,0.82568359375,0.58251953125,0.4189453125
1,ecnn0,5,5,AM,0.215087890625,un_nentropy,0.85009765625,0.57763671875,0.484619140625
1,ecnn0,5,5,PM,0.215087890625,un_nentropy,0.83740234375,0.53564453125,0.46240234375
1,ecnn0,5,3,AM,0.10601806640625,un_nnmp,0.84130859375,0.5498046875,0.57373046875
1,ecnn0,5,3,PM,0.10601806640625,un_nnmp,0.87939453125,0.51220703125,0.41748046875
1,ecnn0,5,4,AM,0.10601806640625,un_nnmp,0.63232421875,0.646484375,0.463134765625
1,ecnn0,5,4,PM,0.10601806640625,un_nnmp,0.83056640625,0.57421875,0.434326171875
1,ecnn0,5,5,AM,0.10601806640625,un_nnmp,0.8583984375,0.57275390625,0.499755859375
1,ecnn0,5,5,PM,0.10601806640625,un_nnmp,0.84228515625,0.53173828125,0.47412109375
1,ecnn0,6,3,AM,0.2225341796875,un_nentropy,0.66845703125,0.63427734375,0.58251953125
1,ecnn0,6,3,PM,0.2225341796875,un_nentropy,0.7919921875,0.56201171875,0.53662109375
1,ecnn0,6,4,AM,0.2225341796875,un_nentropy,0.82568359375,0.5859375,0.61669921875
