run,model,sb,score,AUROC,AUPR,nAUPR
1,ecnn0,1,un_nentropy,0.7958984375,0.611328125,0.52294921875
1,ecnn0,3,un_nentropy,0.685546875,0.66455078125,0.51220703125
1,ecnn0,4,un_nentropy,0.71728515625,0.76025390625,0.6083984375
1,ecnn0,5,un_nentropy,0.76708984375,0.6220703125,0.52099609375
1,ecnn0,6,un_nentropy,0.69677734375,0.68212890625,0.537109375
1,ecnn0,7,un_nentropy,0.7421875,0.69482421875,0.5625
1,ecnn0,8,un_nentropy,0.662109375,0.72802734375,0.55078125
1,ecnn0,10,un_nentropy,0.744140625,0.71630859375,0.57763671875
1,ecnn0,1,un_nnmp,0.80126953125,0.6201171875,0.5341796875
1,ecnn0,3,un_nnmp,0.673828125,0.654296875,0.497314453125
1,ecnn0,4,un_nnmp,0.71337890625,0.75732421875,0.603515625
1,ecnn0,5,un_nnmp,0.76318359375,0.61572265625,0.5126953125
1,ecnn0,6,un_nnmp,0.68994140625,0.669921875,0.5185546875
1,ecnn0,7,un_nnmp,0.7421875,0.6953125,0.5634765625
1,ecnn0,8,un_nnmp,0.658203125,0.72265625,0.54150390625
1,ecnn0,10,un_nnmp,0.74609375,0.72119140625,0.5849609375
1,ecnn1,1,un_nentropy,0.78515625,0.6513671875,0.5458984375
1,ecnn1,3,un_nentropy,0.70849609375,0.63916015625,0.50390625
1,ecnn1,4,un_nentropy,0.74658203125,0.76025390625,0.62060546875
1,ecnn1,5,un_nentropy,0.78466796875,0.62646484375,0.53076171875
1,ecnn1,6,un_nentropy,0.67529296875,0.68505859375,0.5283203125
1,ecnn1,7,un_nentropy,0.75,0.69921875,0.5693359375
1,ecnn1,8,un_nentropy,0.6552734375,0.71240234375,0.5361328125
1,ecnn1,10,un_nentropy,0.73046875,0.72119140625,0.57763671875
1,ecnn1,1,un_nnmp,0.783203125,0.6494140625,0.5439453125
1,ecnn1,3,un_nnmp,0.7021484375,0.63037109375,0.4921875
1,ecnn1,4,un_nnmp,0.7392578125,0.75048828125,0.60498046875
1,ecnn1,5,un_nnmp,0.78125,0.62158203125,0.5244140625
1,ecnn1,6,un_nnmp,0.66796875,0.67431640625,0.51220703125
1,ecnn1,7,un_nnmp,0.74658203125,0.69775390625,0.56689453125
1,ecnn1,8,un_nnmp,0.64892578125,0.70654296875,0.52734375
1,ecnn1,10,un_nnmp,0.72705078125,0.71826171875,0.57275390625
1,ecnn1,1,un_vac,0.6376953125,0.51220703125,0.36474609375
1,ecnn1,3,un_vac,0.6748046875,0.60791015625,0.461181640625
1,ecnn1,4,un_vac,0.73486328125,0.7568359375,0.61474609375
1,ecnn1,5,un_vac,0.75439453125,0.59228515625,0.48828125
1,ecnn1,6,un_vac,0.66845703125,0.6826171875,0.5244140625
1,ecnn1,7,un_vac,0.7060546875,0.650390625,0.499267578125
1,ecnn1,8,un_vac,0.64013671875,0.7001953125,0.517578125
1,ecnn1,10,un_vac,0.71044921875,0.70654296875,0.5546875
1,ecnn1,1,un_diss,0.7294921875,0.54638671875,0.4091796875
1,ecnn1,3,un_diss,0.6669921875,0.568359375,0.40673828125
1,ecnn1,4,un_diss,0.68896484375,0.6962890625,0.51904296875
1,ecnn1,5,un_diss,0.7255859375,0.5283203125,0.4072265625
1,ecnn1,6,un_diss,0.63330078125,0.61572265625,0.424560546875
1,ecnn1,7,un_diss,0.703125,0.6298828125,0.469482421875
1,ecnn1,8,un_diss,0.60986328125,0.65576171875,0.44580078125
1,ecnn1,10,un_diss,0.703125,0.6787109375,0.5126953125
1,ecnn2,1,un_nentropy,0.81689453125,0.7080078125,0.6083984375
1,ecnn2,3,un_nentropy,0.720703125,0.66259765625,0.52490234375
1,ecnn2,4,un_nentropy,0.73046875,0.72900390625,0.5791015625
1,ecnn2,5,un_nentropy,0.7734375,0.65771484375,0.541015625
1,ecnn2,6,un_nentropy,0.70263671875,0.7255859375,0.57080078125
1,ecnn2,7,un_nentropy,0.7890625,0.76708984375,0.6396484375
1,ecnn2,8,un_nentropy,0.69189453125,0.73779296875,0.57080078125
1,ecnn2,10,un_nentropy,0.73291015625,0.744140625,0.59423828125
1,ecnn2,1,un_nnmp,0.818359375,0.7265625,0.63330078125
1,ecnn2,3,un_nnmp,0.7197265625,0.66259765625,0.52490234375
1,ecnn2,4,un_nnmp,0.728515625,0.72802734375,0.57861328125
1,ecnn2,5,un_nnmp,0.775390625,0.66455078125,0.55078125
1,ecnn2,6,un_nnmp,0.7041015625,0.72900390625,0.576171875
1,ecnn2,7,un_nnmp,0.79638671875,0.791015625,0.67626953125
1,ecnn2,8,un_nnmp,0.69384765625,0.740234375,0.5751953125
1,ecnn2,10,un_nnmp,0.73095703125,0.7421875,0.5908203125
1,ecnn2,1,un_vac,0.8134765625,0.72265625,0.62841796875
1,ecnn2,3,un_vac,0.7216796875,0.6640625,0.52685546875
1,ecnn2,4,un_vac,0.732421875,0.728515625,0.5791015625
1,ecnn2,5,un_vac,0.7724609375,0.65869140625,0.54296875
1,ecnn2,6,un_vac,0.70458984375,0.72900390625,0.576171875
1,ecnn2,7,un_vac,0.80029296875,0.7939453125,0.681640625
1,ecnn2,8,un_vac,0.69140625,0.7392578125,0.57373046875
1,ecnn2,10,un_vac,0.73046875,0.7421875,0.5908203125
1,ecnn2,1,un_diss,0.72998046875,0.56298828125,0.414306640625
1,ecnn2,3,un_diss,0.677734375,0.59375,0.427978515625
1,ecnn2,4,un_diss,0.68505859375,0.666015625,0.481689453125
1,ecnn2,5,un_diss,0.677734375,0.5537109375,0.40185546875
1,ecnn2,6,un_diss,0.49951171875,0.56494140625,0.320068359375
1,ecnn2,7,un_diss,0.55810546875,0.5751953125,0.342529296875
1,ecnn2,8,un_diss,0.51220703125,0.6064453125,0.3564453125
1,ecnn2,10,un_diss,0.701171875,0.69921875,0.52294921875
1,ecnn3,1,un_nentropy,0.79833984375,0.64404296875,0.5498046875
1,ecnn3,3,un_nentropy,0.69775390625,0.6435546875,0.501953125
1,ecnn3,4,un_nentropy,0.7646484375,0.79296875,0.66259765625
1,ecnn3,5,un_nentropy,0.7919921875,0.650390625,0.55712890625
1,ecnn3,6,un_nentropy,0.66748046875,0.69775390625,0.54052734375
1,ecnn3,7,un_nentropy,0.75634765625,0.71533203125,0.58642578125
1,ecnn3,8,un_nentropy,0.6572265625,0.70654296875,0.52978515625
1,ecnn3,10,un_nentropy,0.748046875,0.7490234375,0.61279296875
1,ecnn3,1,un_nnmp,0.798828125,0.64501953125,0.55126953125
1,ecnn3,3,un_nnmp,0.69775390625,0.64306640625,0.50146484375
1,ecnn3,4,un_nnmp,0.75830078125,0.7841796875,0.6484375
1,ecnn3,5,un_nnmp,0.79052734375,0.6474609375,0.55322265625
1,ecnn3,6,un_nnmp,0.6640625,0.69287109375,0.533203125
1,ecnn3,7,un_nnmp,0.75244140625,0.7109375,0.57958984375
1,ecnn3,8,un_nnmp,0.658203125,0.70703125,0.5302734375
1,ecnn3,10,un_nnmp,0.7470703125,0.748046875,0.61083984375
