run,model,sb,state,day,period,acc
1,ecnn1,1,test,4,PM,0.7236328125
1,ecnn1,1,test,5,AM,0.64501953125
1,ecnn1,1,test,5,PM,0.6796875
1,ecnn1,3,val,1,AM,0.650390625
1,ecnn1,3,val,1,PM,0.79736328125
1,ecnn1,3,val,2,AM,0.81201171875
1,ecnn1,3,val,2,PM,0.82373046875
1,ecnn1,3,test,3,AM,0.71728515625
1,ecnn1,3,test,3,PM,0.56689453125
1,ecnn1,3,test,4,AM,0.460205078125
1,ecnn1,3,test,4,PM,0.5419921875
1,ecnn1,3,test,5,AM,0.55908203125
1,ecnn1,3,test,5,PM,0.432373046875
1,ecnn1,4,val,1,AM,0.64697265625
1,ecnn1,4,val,1,PM,0.73876953125
1,ecnn1,4,val,2,AM,0.7607421875
1,ecnn1,4,val,2,PM,0.80712890625
1,ecnn1,4,test,3,AM,0.437255859375
1,ecnn1,4,test,3,PM,0.3896484375
1,ecnn1,4,test,4,AM,0.4033203125
1,ecnn1,4,test,4,PM,0.445556640625
1,ecnn1,4,test,5,AM,0.426025390625
1,ecnn1,4,test,5,PM,0.44287109375
1,ecnn1,5,val,1,AM,0.90625
1,ecnn1,5,val,1,PM,0.828125
1,ecnn1,5,val,2,AM,0.88916015625
1,ecnn1,5,val,2,PM,0.92236328125
1,ecnn1,5,test,3,AM,0.634765625
1,ecnn1,5,test,3,PM,0.732421875
1,ecnn1,5,test,4,AM,0.53857421875
1,ecnn1,5,test,4,PM,0.65625
1,ecnn1,5,test,5,AM,0.64306640625
1,ecnn1,5,test,5,PM,0.658203125
1,ecnn1,6,val,1,AM,0.85498046875
1,ecnn1,6,val,1,PM,0.80419921875
1,ecnn1,6,val,2,AM,0.86279296875
1,ecnn1,6,val,2,PM,0.84130859375
1,ecnn1,6,test,3,AM,0.465576171875
1,ecnn1,6,test,3,PM,0.60546875
1,ecnn1,6,test,4,AM,0.6005859375
1,ecnn1,6,test,4,PM,0.529296875
1,ecnn1,6,test,5,AM,0.206787109375
1,ecnn1,6,test,5,PM,0.410888671875
1,ecnn1,7,val,1,AM,0.6748046875
1,ecnn1,7,val,1,PM,0.740234375
1,ecnn1,7,val,2,AM,0.6611328125
1,ecnn1,7,val,2,PM,0.7333984375
1,ecnn1,7,test,3,AM,0.57568359375
1,ecnn1,7,test,3,PM,0.57763671875
1,ecnn1,7,test,4,AM,0.4033203125
1,ecnn1,7,test,4,PM,0.50732421875
1,ecnn1,7,test,5,AM,0.490478515625
1,ecnn1,7,test,5,PM,0.483154296875
1,ecnn1,8,val,1,AM,0.7373046875
1,ecnn1,8,val,1,PM,0.69482421875
1,ecnn1,8,val,2,AM,0.71044921875
1,ecnn1,8,val,2,PM,0.80029296875
1,ecnn1,8,test,3,AM,0.26025390625
1,ecnn1,8,test,3,PM,0.335205078125
1,ecnn1,8,test,4,AM,0.45263671875
1,ecnn1,8,test,4,PM,0.40234375
1,ecnn1,8,test,5,AM,0.5576171875
1,ecnn1,8,test,5,PM,0.464111328125
1,ecnn1,10,val,1,AM,0.8017578125
1,ecnn1,10,val,1,PM,0.90234375
1,ecnn1,10,val,2,AM,0.77099609375
1,ecnn1,10,val,2,PM,0.68115234375
1,ecnn1,10,test,3,AM,0.466552734375
1,ecnn1,10,test,3,PM,0.399169921875
1,ecnn1,10,test,4,AM,0.426513671875
1,ecnn1,10,test,4,PM,0.66455078125
1,ecnn1,10,test,5,AM,0.4541015625
1,ecnn1,10,test,5,PM,0.334228515625
1,ecnn2,1,val,1,AM,0.59228515625
1,ecnn2,1,val,1,PM,0.59033203125
1,ecnn2,1,val,2,AM,0.6201171875
1,ecnn2,1,val,2,PM,0.65576171875
1,ecnn2,1,test,3,AM,0.57958984375
1,ecnn2,1,test,3,PM,0.454345703125
1,ecnn2,1,test,4,AM,0.60986328125
1,ecnn2,1,test,4,PM,0.62109375
1,ecnn2,1,test,5,AM,0.57958984375
1,ecnn2,1,test,5,PM,0.583984375
1,ecnn2,3,val,1,AM,0.59228515625
1,ecnn2,3,val,1,PM,0.7041015625
1,ecnn2,3,val,2,AM,0.77587890625
1,ecnn2,3,val,2,PM,0.744140625
1,ecnn2,3,test,3,AM,0.6572265625
1,ecnn2,3,test,3,PM,0.53173828125
1,ecnn2,3,test,4,AM,0.4580078125
1,ecnn2,3,test,4,PM,0.58642578125
1,ecnn2,3,test,5,AM,0.5205078125
1,ecnn2,3,test,5,PM,0.384521484375
1,ecnn2,4,val,1,AM,0.57958984375
1,ecnn2,4,val,1,PM,0.55908203125
1,ecnn2,4,val,2,AM,0.6787109375
1,ecnn2,4,val,2,PM,0.6767578125
1,ecnn2,4,test,3,AM,0.452392578125
1,ecnn2,4,test,3,PM,0.44140625
1,ecnn2,4,test,4,AM,0.428955078125
1,ecnn2,4,test,4,PM,0.461669921875
1,ecnn2,4,test,5,AM,0.4423828125
1,ecnn2,4,test,5,PM,0.41015625
1,ecnn2,5,val,1,AM,0.8427734375
1,ecnn2,5,val,1,PM,0.7412109375
1,ecnn2,5,val,2,AM,0.7822265625
1,ecnn2,5,val,2,PM,0.78076171875
1,ecnn2,5,test,3,AM,0.55859375
1,ecnn2,5,test,3,PM,0.68310546875
1,ecnn2,5,test,4,AM,0.55029296875
1,ecnn2,5,test,4,PM,0.572265625
1,ecnn2,5,test,5,AM,0.52490234375
1,ecnn2,5,test,5,PM,0.53857421875
