run,model,sb,day,period,threshold_vac,threshold_diss,TAR,TRR,RR
1,ecnn1,1,3,AM,0.1617431640625,0.0887451171875,0.998046875,0.414794921875,0.935546875
1,ecnn1,1,3,PM,0.1617431640625,0.0887451171875,0.9833984375,0.55908203125,0.9560546875
1,ecnn1,1,4,AM,0.1617431640625,0.0887451171875,0.99462890625,0.400634765625,0.888671875
1,ecnn1,1,4,PM,0.1617431640625,0.0887451171875,0.98388671875,0.36376953125,0.92236328125
1,ecnn1,1,5,AM,0.1617431640625,0.0887451171875,0.90087890625,0.381103515625,0.99462890625
1,ecnn1,1,5,PM,0.1617431640625,0.0887451171875,0.984375,0.411865234375,0.943359375
1,ecnn1,3,3,AM,0.2042236328125,0.0196685791015625,0.9599609375,0.3603515625,0.75732421875
1,ecnn1,3,3,PM,0.2042236328125,0.0196685791015625,0.94677734375,0.505859375,0.8388671875
1,ecnn1,3,4,AM,0.2042236328125,0.0196685791015625,0.72265625,0.58984375,0.83984375
1,ecnn1,3,4,PM,0.2042236328125,0.0196685791015625,0.86279296875,0.51220703125,0.85546875
1,ecnn1,3,5,AM,0.2042236328125,0.0196685791015625,0.70947265625,0.457763671875,0.89990234375
1,ecnn1,3,5,PM,0.2042236328125,0.0196685791015625,0.560546875,0.5751953125,0.94384765625
1,ecnn1,4,3,AM,0.1993408203125,0.0036563873291015625,0.72607421875,0.6376953125,0.794921875
1,ecnn1,4,3,PM,0.1993408203125,0.0036563873291015625,0.70947265625,0.70166015625,0.77734375
1,ecnn1,4,4,AM,0.1993408203125,0.0036563873291015625,0.7451171875,0.716796875,0.73974609375
1,ecnn1,4,4,PM,0.1993408203125,0.0036563873291015625,0.80859375,0.7041015625,0.7080078125
1,ecnn1,4,5,AM,0.1993408203125,0.0036563873291015625,0.79931640625,0.69580078125,0.75341796875
1,ecnn1,4,5,PM,0.1993408203125,0.0036563873291015625,0.74365234375,0.67529296875,0.71826171875
1,ecnn1,5,3,AM,0.21533203125,0.02911376953125,0.955078125,0.438720703125,0.81396484375
1,ecnn1,5,3,PM,0.21533203125,0.02911376953125,0.95458984375,0.37744140625,0.66943359375
1,ecnn1,5,4,AM,0.21533203125,0.02911376953125,0.8720703125,0.576171875,0.744140625
1,ecnn1,5,4,PM,0.21533203125,0.02911376953125,0.94775390625,0.45751953125,0.7197265625
1,ecnn1,5,5,AM,0.21533203125,0.02911376953125,0.9677734375,0.46923828125,0.74267578125
1,ecnn1,5,5,PM,0.21533203125,0.02911376953125,0.91552734375,0.404541015625,0.80419921875
1,ecnn1,6,3,AM,0.22216796875,0.062744140625,0.74951171875,0.64892578125,0.71240234375
1,ecnn1,6,3,PM,0.22216796875,0.062744140625,0.93017578125,0.52294921875,0.71630859375
1,ecnn1,6,4,AM,0.22216796875,0.062744140625,0.88330078125,0.482421875,0.7734375
1,ecnn1,6,4,PM,0.22216796875,0.062744140625,0.82275390625,0.60009765625,0.6943359375
1,ecnn1,6,5,AM,0.22216796875,0.062744140625,0.2481689453125,0.82421875,0.5732421875
1,ecnn1,6,5,PM,0.22216796875,0.062744140625,0.65380859375,0.6708984375,0.74755859375
1,ecnn1,7,3,AM,0.20751953125,0.0777587890625,0.9560546875,0.521484375,0.79736328125
1,ecnn1,7,3,PM,0.20751953125,0.0777587890625,0.96044921875,0.5234375,0.79150390625
1,ecnn1,7,4,AM,0.20751953125,0.0777587890625,0.779296875,0.64794921875,0.88037109375
1,ecnn1,7,4,PM,0.20751953125,0.0777587890625,0.84228515625,0.5908203125,0.77294921875
1,ecnn1,7,5,AM,0.20751953125,0.0777587890625,0.955078125,0.58203125,0.86474609375
1,ecnn1,7,5,PM,0.20751953125,0.0777587890625,0.9375,0.59814453125,0.84765625
1,ecnn1,8,3,AM,0.200927734375,0.007110595703125,0.443359375,0.798828125,0.75537109375
1,ecnn1,8,3,PM,0.200927734375,0.007110595703125,0.488037109375,0.6826171875,0.89599609375
1,ecnn1,8,4,AM,0.200927734375,0.007110595703125,0.87548828125,0.6142578125,0.86328125
1,ecnn1,8,4,PM,0.200927734375,0.007110595703125,0.8017578125,0.66259765625,0.85986328125
1,ecnn1,8,5,AM,0.200927734375,0.007110595703125,0.9306640625,0.464599609375,0.94287109375
1,ecnn1,8,5,PM,0.200927734375,0.007110595703125,0.58984375,0.54296875,0.9462890625
1,ecnn1,10,3,AM,0.1898193359375,0.003204345703125,0.8154296875,0.62841796875,0.78564453125
1,ecnn1,10,3,PM,0.1898193359375,0.003204345703125,0.8642578125,0.67529296875,0.86181640625
1,ecnn1,10,4,AM,0.1898193359375,0.003204345703125,0.873046875,0.6259765625,0.89453125
1,ecnn1,10,4,PM,0.1898193359375,0.003204345703125,0.9150390625,0.43115234375,0.7236328125
1,ecnn1,10,5,AM,0.1898193359375,0.003204345703125,0.90087890625,0.642578125,0.822265625
1,ecnn1,10,5,PM,0.1898193359375,0.003204345703125,0.65380859375,0.72998046875,0.8330078125
1,ecnn2,1,3,AM,0.646484375,0.0029087066650390625,0.93505859375,0.5322265625,0.76123046875
1,ecnn2,1,3,PM,0.646484375,0.0029087066650390625,0.9150390625,0.6572265625,0.8046875
1,ecnn2,1,4,AM,0.646484375,0.0029087066650390625,0.94677734375,0.57666015625,0.6435546875
1,ecnn2,1,4,PM,0.646484375,0.0029087066650390625,0.95361328125,0.54736328125,0.6630859375
1,ecnn2,1,5,AM,0.646484375,0.0029087066650390625,0.92138671875,0.54052734375,0.740234375
1,ecnn2,1,5,PM,0.646484375,0.0029087066650390625,0.95556640625,0.60986328125,0.65771484375
